-176,1223.1
-175.5,1470.7
-175,1601.4
-174.5,1477
-174,1702.7
-173.5,1576.3
-173,1673.5
-172.5,1717.4
-172,1752.8
-171.5,1897.2
-171,1603.4
-170.5,1448.9
-170,1532.4
-169.5,1579.4
-169,1935.8
-168.5,1551.2
-168,1387.1
-167.5,1421.6
-167,1575.2
-166.5,1135
-166,1151.9
-165.5,1205.1
-165,1455
-164.5,1251
-164,1489.5
-163.5,2028
-163,1908.7
-162.5,1481.2
-162,1937.9
-161.5,1731
-161,1904.5
-160.5,1976.7
-160,1746.6
-159.5,1886.7
-159,2050.9
-158.5,1791.6
-158,1558.6
-157.5,1636.9
-157,1702.7
-156.5,993.9
-156,1050.3
-155.5,1155.9
-155,1144.3
-154.5,934.9
-154,868.1
-153.5,1078.4
-153,980.9
-152.5,1034.5
-152,1297.2
-151.5,1213.4
-151,1050.2
-150.5,1106.7
-150,1607.6
-149.5,1593
-149,1448.8
-148.5,1325.4
-148,1339
-147.5,1007.1
-147,1281.3
-146.5,1114.1
-146,1184.2
-145.5,1076.2
-145,1221.8
-144.5,1122.4
-144,1217.6
-143.5,1192.5
-143,1427.8
-142.5,1343.2
-142,1577.3
-141.5,1515.7
-141,1393.4
-140.5,1354.7
-140,1563.7
-139.5,1449.8
-139,1404.9
-138.5,1206
-138,1167.3
-137.5,1427.8
-137,1297.2
-136.5,1909.8
-136,1653.6
-135.5,1332.8
-135,1312.9
-134.5,1521.9
-134,1771.7
-133.5,1343.1
-133,1626.4
-132.5,1353.7
-132,1302.5
-131.5,1903.5
-131,1532.3
-130.5,1536.6
-130,1478
-129.5,1437.2
-129,1231.4
-128.5,1469.7
-128,1380.8
-127.5,1731
-127,1370.3
-126.5,1507.3
-126,1458.1
-125.5,1339
-125,1255.2
-124.5,1284.6
-124,1365.1
-123.5,3355.2
-123,2083.3
-122.5,1420.5
-122,1533.4
-121.5,1621.2
-121,1697.6
-120.5,1554.3
-120,1558.5
-119.5,1141.3
-119,1121.4
-118.5,1651.5
-118,1564.8
-117.5,1511.5
-117,1538.6
-116.5,1157.9
-116,1174.6
-115.5,1879.4
-115,1422.6
-114.5,1978.6
-114,1582.5
-113.5,1175.6
-113,1302.2
-112.5,1387
-112,1396.5
-111.5,1474.9
-111,1521.9
-110.5,1183.1
-110,1190.4
-109.5,2189.7
-109,1482.1
-108.5,1321.2
-108,1490.6
-107.5,1897.2
-107,1391.3
-106.5,1159.1
-106,1240.6
-105.5,1451.8
-105,1401.5
-104.5,1253.1
-104,1808.3
-103.5,2050.8
