-176,1510.12048
-175.7,1509.21109
-175.4,1508.30878
-175.1,1507.41365
-174.8,1506.52579
-174.5,1505.64531
-174.2,1504.77232
-173.9,1503.90691
-173.6,1503.04918
-173.3,1502.19924
-173,1501.35716
-172.7,1500.52305
-172.4,1499.69696
-172.1,1498.879
-171.8,1498.0692
-171.5,1497.26765
-171.2,1496.47437
-170.9,1495.6894
-170.6,1494.91276
-170.3,1494.14448
-170,1493.38456
-169.7,1492.63304
-169.4,1491.88992
-169.1,1491.15521
-168.8,1490.42893
-168.5,1489.71107
-168.2,1489.00161
-167.9,1488.30052
-167.6,1487.6078
-167.3,1486.92341
-167,1486.24733
-166.7,1485.57956
-166.4,1484.92005
-166.1,1484.26881
-165.8,1483.6258
-165.5,1482.99103
-165.2,1482.36452
-164.9,1481.74626
-164.6,1481.13629
-164.3,1480.53461
-164,1479.94126
-163.7,1479.35626
-163.4,1478.77964
-163.1,1478.2114
-162.8,1477.65154
-162.5,1477.10005
-162.2,1476.5569
-161.9,1476.02205
-161.6,1475.49546
-161.3,1474.97707
-161,1474.46681
-160.7,1473.9646
-160.4,1473.47033
-160.1,1472.98389
-159.8,1472.50514
-159.5,1472.03394
-159.2,1471.57011
-158.9,1471.11347
-158.6,1470.66382
-158.3,1470.22092
-158,1469.78454
-157.7,1469.3544
-157.4,1468.93025
-157.1,1468.51179
-156.8,1468.09872
-156.5,1467.69074
-156.2,1467.28751
-155.9,1466.88872
-155.6,1466.49405
-155.3,1466.10319
-155,1465.71581
-154.7,1465.3316
-154.4,1464.95025
-154.1,1464.57145
-153.8,1464.19489
-153.5,1463.82026
-153.2,1463.44728
-152.9,1463.07566
-152.6,1462.70512
-152.3,1462.33537
-152,1461.96614
-151.7,1461.59717
-151.4,1461.22818
-151.1,1460.85888
-150.8,1460.48902
-150.5,1460.11832
-150.2,1459.7465
-149.9,1459.37332
-149.6,1458.9985
-149.3,1458.62175
-149,1458.24279
-148.7,1457.86131
-148.4,1457.47698
-148.1,1457.08949
-147.8,1456.6985
-147.5,1456.30368
-147.2,1455.90468
-146.9,1455.50118
-146.6,1455.09283
-146.3,1454.67931
-146,1454.26029
-145.7,1453.83545
-145.4,1453.40446
-145.1,1452.96702
-144.8,1452.52284
-144.5,1452.07163
-144.2,1451.61313
-143.9,1451.1471
-143.6,1450.67331
-143.3,1450.1916
-143,1449.7018
-142.7,1449.20381
-142.4,1448.69757
-142.1,1448.18309
-141.8,1447.66043
-141.5,1447.12975
-141.2,1446.5913
-140.9,1446.04546
-140.6,1445.49276
-140.3,1444.93392
-140,1444.3699
-139.7,1443.80192
-139.4,1443.2315
-139.1,1442.66057
-138.8,1442.09143
-138.5,1441.52691
-138.2,1440.97039
-137.9,1440.42585
-137.6,1439.89793
-137.3,1439.39195
-137,1438.91385
-136.7,1438.47012
-136.4,1438.06763
-136.1,1437.71334
-135.8,1437.41387
-135.5,1437.55866
